source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
Endothelia,Neutrophils,Adam10,Adam10,Il6ra,Il6ra,0.14190120055107264,0.36363636363636365,0.31410930678297244,0.26172219634485616,0.2879157515639143,0
Endothelia,Neutrophils,Adam10,Adam10,Cd44,Cd44,0.7553631174965558,0.36363636363636365,0.31410930678297244,1.8888928787068453,1.101501092744909,0
Endothelia,Neutrophils,Adam10,Adam10,Notch2,Notch2,0.2950206652233812,0.36363636363636365,0.31410930678297244,0.5808268697796666,0.4474680882813195,0
Endothelia,Neutrophils,Anxa1,Anxa1,Fpr1,Fpr1,0.11533162763235584,0.8,1.1866904217483312,0.21352126221430764,0.7001058419813194,0
Endothelia,Neutrophils,Thy1,Thy1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.7090909090909091,1.321526594872537,0.6508387747555469,0.9861826848140419,0
Endothelia,Neutrophils,App,App,Cd74,Cd74,0.13973627238732533,0.8909090909090909,1.4107573892649083,0.25632140616381277,0.8335393977143606,0
Endothelia,Neutrophils,App,App,Fpr2,Fpr2,0.13698090926982878,0.8909090909090909,1.4107573892649083,0.2365689820429688,0.8236631856539386,0
Endothelia,Neutrophils,App,App,Notch2,Notch2,0.2950206652233812,0.8909090909090909,1.4107573892649083,0.5808268697796666,0.9957921295222875,0
Endothelia,Neutrophils,App,App,Lrp10,Lrp10,0.10568785672111788,0.8909090909090909,1.4107573892649083,0.17804559679304421,0.7944014930289762,0
Endothelia,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.6727272727272727,1.0855514204708923,0.6508387747555469,0.8681950976132196,0
Endothelia,Neutrophils,Icam1,Icam1,Itgal_Itgb2,Itgal,0.10490061011611887,0.6727272727272727,1.0855514204708923,0.240009294485665,0.6627803574782787,0
Endothelia,Neutrophils,Anxa2,Anxa2,Tlr2,Tlr2,0.1454438102735682,0.9454545454545454,1.9344311310899782,0.2625414002058276,1.0984862656479029,0
Endothelia,Neutrophils,Thbs1,Thbs1,Cd47,Cd47,0.3491438693170636,0.7272727272727273,1.2436239090226626,0.6916024367966578,0.9676131729096602,0
Endothelia,Neutrophils,Thbs1,Thbs1,Ptprj,Ptprj,0.49163550482188545,0.7272727272727273,1.2436239090226626,1.1530120676712254,1.1983179883469441,0
Endothelia,Neutrophils,Csf1,Csf1,Sirpa,Sirpa,0.2753395000984058,0.6363636363636364,0.7919420771354003,0.5330517083056914,0.6624968927205459,0
Endothelia,Neutrophils,Icam2,Icam2,Itgam_Itgb2,Itgb2,0.16984845502853768,0.18181818181818182,0.19016304916925328,0.6508387747555469,0.4205009119624001,0
Endothelia,Neutrophils,Icam2,Icam2,Itgal_Itgb2,Itgal,0.10490061011611887,0.18181818181818182,0.19016304916925328,0.240009294485665,0.21508617182745915,0
Endothelia,Neutrophils,Sele,Sele,Cd44,Cd44,0.7553631174965558,0.21818181818181817,0.4022098653814786,1.8888928787068453,1.145551372044162,0
Endothelia,Neutrophils,Sele,Sele,Glg1,Glg1,0.12753395000984058,0.21818181818181817,0.4022098653814786,0.22245012169089615,0.3123299935361874,0
Endothelia,Neutrophils,Cd34,Cd34,Sell,Sell,0.3200157449321,0.21818181818181817,0.2601795592309573,0.6544201668411243,0.45729986303604075,0
Endothelia,Neutrophils,Sdc2,Sdc2,Ptprj,Ptprj,0.49163550482188545,0.36363636363636365,0.3035995144003231,1.1530120676712254,0.7283057910357743,0
Endothelia,Neutrophils,Jag1,Jag1,Notch2,Notch2,0.2950206652233812,0.2545454545454545,0.21034724253032663,0.5808268697796666,0.3955870561549966,0
Endothelia,Neutrophils,Dlk1,Dlk1,Notch2,Notch2,0.2950206652233812,0.23636363636363636,0.24884652091181794,0.5808268697796666,0.41483669534574225,0
Endothelia,Neutrophils,Cd47,Cd47,Sirpa,Sirpa,0.2753395000984058,0.7636363636363637,0.8398064773449186,0.5330517083056914,0.686429092825305,0
Endothelia,Neutrophils,Jam3,Jam3,Itgam_Itgb2,Itgb2,0.16984845502853768,0.10909090909090909,0.05161287900518518,0.6508387747555469,0.351225826880366,0
Endothelia,Neutrophils,F11r,F11r,Itgal_Itgb2,Itgal,0.10490061011611887,0.32727272727272727,0.29870054376205596,0.240009294485665,0.26935491912386045,0
Endothelia,Neutrophils,Lama5,Lama5,Cd44,Cd44,0.7553631174965558,0.2545454545454545,0.21896086117195165,1.8888928787068453,1.0539268699393984,0
Endothelia,Neutrophils,Col1a1,Col1a1,Cd44,Cd44,0.7553631174965558,0.9272727272727272,2.2740999075214923,1.8888928787068453,2.081496393114169,0
Endothelia,Neutrophils,Col4a1,Col4a1,Cd44,Cd44,0.7553631174965558,0.9454545454545454,3.045014440615126,1.8888928787068453,2.4669536596609856,0
Endothelia,Neutrophils,Col4a1,Col4a1,Cd47,Cd47,0.3491438693170636,0.9454545454545454,3.045014440615126,0.6916024367966578,1.868308438705892,0
Endothelia,Neutrophils,Fn1,Fn1,Itgav_Itgb1,Itgav,0.1724070064947845,0.7818181818181819,1.3718546944881167,0.44771408189796535,0.909784388193041,0
Endothelia,Neutrophils,Fn1,Fn1,Cd44,Cd44,0.7553631174965558,0.7818181818181819,1.3718546944881167,1.8888928787068453,1.630373786597481,0
Endothelia,Neutrophils,Fn1,Fn1,C5ar1,C5ar1,0.49714623105687855,0.7818181818181819,1.3718546944881167,1.1215301907888222,1.2466924426384693,0
Endothelia,Neutrophils,Fn1,Fn1,Plaur,Plaur,0.7535918126353081,0.7818181818181819,1.3718546944881167,2.0697907155374233,1.72082270501277,0
Endothelia,Neutrophils,Vwf,Vwf,Sirpa,Sirpa,0.2753395000984058,0.2909090909090909,0.4577597138028774,0.5330517083056914,0.4954057110542844,0
Endothelia,Neutrophils,Lamb1,Lamb1,Cd44,Cd44,0.7553631174965558,0.7272727272727273,0.8228674405694721,1.8888928787068453,1.3558801596381587,0
Endothelia,Neutrophils,Col1a2,Col1a2,Cd44,Cd44,0.7553631174965558,0.8181818181818182,1.574802107097701,1.8888928787068453,1.7318474929022731,0
Endothelia,Neutrophils,Col4a2,Col4a2,Cd44,Cd44,0.7553631174965558,0.9818181818181818,3.1121883480349273,1.8888928787068453,2.5005406133708865,0
Endothelia,Neutrophils,Lamc1,Lamc1,Cd44,Cd44,0.7553631174965558,0.8545454545454545,1.2426281338327607,1.8888928787068453,1.565760506269803,0
Endothelia,Neutrophils,Col6a1,Col6a1,Cd44,Cd44,0.7553631174965558,0.5818181818181818,0.9630806221060144,1.8888928787068453,1.4259867504064299,0
Endothelia,Neutrophils,Col6a2,Col6a2,Cd44,Cd44,0.7553631174965558,0.6,1.0137426116680082,1.8888928787068453,1.4513177451874268,0
Endothelia,Neutrophils,Col6a3,Col6a3,Cd44,Cd44,0.7553631174965558,0.6363636363636364,1.4318929041820256,1.8888928787068453,1.6603928914444355,0
Endothelia,Neutrophils,Lama2,Lama2,Cd44,Cd44,0.7553631174965558,0.2,0.14313625930363844,1.8888928787068453,1.0160145690052418,0
Endothelia,Neutrophils,Lamb2,Lamb2,Cd44,Cd44,0.7553631174965558,0.4727272727272727,0.40414840168580424,1.8888928787068453,1.1465206401963248,0
Endothelia,Neutrophils,Hspg2,Hspg2,Itgb1,Itgb1,0.2881322574296398,0.6545454545454545,0.7740199631782638,0.5561940982678412,0.6651070307230524,0
Endothelia,Neutrophils,Lama4,Lama4,Cd44,Cd44,0.7553631174965558,0.6181818181818182,0.6590101142225565,1.8888928787068453,1.273951496464701,0
Endothelia,Neutrophils,Pglyrp1,Pglyrp1,Trem1,Trem1,0.4753001377681559,0.2727272727272727,0.20689815606305825,1.060415971081022,0.6336570635720401,0
Endothelia,Neutrophils,Hp,Hp,Tlr4,Tlr4,0.2387325329659516,0.23636363636363636,0.24073610210276755,0.4733183472359751,0.3570272246693713,0.009000000000000008
Endothelia,Neutrophils,Hp,Hp,Itgam,Itgam,0.4754969494194056,0.23636363636363636,0.24073610210276755,1.0034812367587194,0.6221086694307435,0
Endothelia,Neutrophils,Fgf1,Fgf1,Cd44,Cd44,0.7553631174965558,0.12727272727272726,0.14853145241683802,1.8888928787068453,1.0187121655618416,0
Endothelia,Neutrophils,Il6,Il6,F3,F3,0.16158236567604803,0.5272727272727272,0.6614630225955782,0.3455013876305026,0.5034822051130404,0
