source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
Epithelia&Tumor_cell,Neutrophils,Adam10,Adam10,Il6ra,Il6ra,0.14190120055107264,0.5116279069767442,0.30491458228151697,0.26172219634485616,0.28331838931318654,0
Epithelia&Tumor_cell,Neutrophils,Adam10,Adam10,Cd44,Cd44,0.7553631174965558,0.5116279069767442,0.30491458228151697,1.8888928787068453,1.096903730494181,0
Epithelia&Tumor_cell,Neutrophils,Adam10,Adam10,Notch2,Notch2,0.2950206652233812,0.5116279069767442,0.30491458228151697,0.5808268697796666,0.44287072603059174,0
Epithelia&Tumor_cell,Neutrophils,Anxa1,Anxa1,Fpr1,Fpr1,0.11533162763235584,0.8790697674418605,1.5105054700901916,0.21352126221430764,0.8620133661522497,0
Epithelia&Tumor_cell,Neutrophils,App,App,Cd74,Cd74,0.13973627238732533,0.8434108527131783,0.8438334762470804,0.25632140616381277,0.5500774412054465,0
Epithelia&Tumor_cell,Neutrophils,App,App,Fpr2,Fpr2,0.13698090926982878,0.8434108527131783,0.8438334762470804,0.2365689820429688,0.5402012291450246,0
Epithelia&Tumor_cell,Neutrophils,App,App,Notch2,Notch2,0.2950206652233812,0.8434108527131783,0.8438334762470804,0.5808268697796666,0.7123301730133735,0
Epithelia&Tumor_cell,Neutrophils,App,App,Lrp10,Lrp10,0.10568785672111788,0.8434108527131783,0.8438334762470804,0.17804559679304421,0.5109395365200623,0
Epithelia&Tumor_cell,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.2,0.11285229330480888,0.6508387747555469,0.38184553403017785,0
Epithelia&Tumor_cell,Neutrophils,Anxa2,Anxa2,Tlr2,Tlr2,0.1454438102735682,0.9798449612403101,2.3878884242548377,0.2625414002058276,1.3252149122303327,0
Epithelia&Tumor_cell,Neutrophils,Thbs1,Thbs1,Cd47,Cd47,0.3491438693170636,0.4124031007751938,0.27878731077835167,0.6916024367966578,0.4851948737875047,0
Epithelia&Tumor_cell,Neutrophils,Thbs1,Thbs1,Ptprj,Ptprj,0.49163550482188545,0.4124031007751938,0.27878731077835167,1.1530120676712254,0.7158996892247885,0
Epithelia&Tumor_cell,Neutrophils,Csf1,Csf1,Sirpa,Sirpa,0.2753395000984058,0.6744186046511628,0.6152071136430579,0.5330517083056914,0.5741294109743746,0
Epithelia&Tumor_cell,Neutrophils,Cdh1,Cdh1,Igf1r,Igf1r,0.7270222397165912,0.6837209302325581,0.6806680441837885,1.9921180651311783,1.3363930546574834,0
Epithelia&Tumor_cell,Neutrophils,Sdc2,Sdc2,Ptprj,Ptprj,0.49163550482188545,0.49612403100775193,0.3046049838843556,1.1530120676712254,0.7288085257777905,0
Epithelia&Tumor_cell,Neutrophils,Jag1,Jag1,Notch2,Notch2,0.2950206652233812,0.34728682170542635,0.207004500027767,0.5808268697796666,0.39391568490371676,0
