source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
NK_cell,Neutrophils,Tnf,Tnf,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.29977544910179643,0.5490109853341774,0.4703087983750599,0.5096598918546187,0
NK_cell,Neutrophils,Tnf,Tnf,Tnfrsf1b,Tnfrsf1b,0.3782719937020272,0.29977544910179643,0.5490109853341774,0.7643212207207234,0.6566661030274503,0
NK_cell,Neutrophils,Tnf,Tnf,Fas,Fas,0.20251918913599684,0.29977544910179643,0.5490109853341774,0.3948998908623468,0.47195543809826207,0
NK_cell,Neutrophils,Thy1,Thy1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.4038173652694611,0.6782387018059285,0.6508387747555469,0.6645387382807377,0
NK_cell,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.35479041916167664,0.6056522863543626,0.6508387747555469,0.6282455305549548,0
NK_cell,Neutrophils,Icam1,Icam1,Itgal_Itgb2,Itgal,0.10490061011611887,0.35479041916167664,0.6056522863543626,0.240009294485665,0.4228307904200138,0
NK_cell,Neutrophils,Anxa2,Anxa2,Tlr2,Tlr2,0.1454438102735682,0.6721556886227545,1.29927388615336,0.2625414002058276,0.7809076431795938,0
NK_cell,Neutrophils,Fasl,Fasl,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.1721556886227545,0.26002800040294005,0.4703087983750599,0.365168399389,0
NK_cell,Neutrophils,Fasl,Fasl,Fas,Fas,0.20251918913599684,0.1721556886227545,0.26002800040294005,0.3948998908623468,0.3274639456326434,0
NK_cell,Neutrophils,Adam17,Adam17,Il6ra,Il6ra,0.14190120055107264,0.45022455089820357,0.7651119634756355,0.26172219634485616,0.5134170799102458,0
NK_cell,Neutrophils,Cd47,Cd47,Sirpa,Sirpa,0.2753395000984058,0.4898952095808383,0.8096968220698406,0.5330517083056914,0.671374265187766,0
NK_cell,Neutrophils,Selplg,Selplg,Itgb2,Itgb2,0.16984845502853768,0.5845808383233533,1.0315404833076989,0.2981963127523744,0.6648683980300366,0
