source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
T_CD8_cell,Neutrophils,Adam10,Adam10,Il6ra,Il6ra,0.14190120055107264,0.14156285390713477,0.13370277225343058,0.26172219634485616,0.19771248429914337,0.0050000000000000044
T_CD8_cell,Neutrophils,Adam10,Adam10,Cd44,Cd44,0.7553631174965558,0.14156285390713477,0.13370277225343058,1.8888928787068453,1.011297825480138,0
T_CD8_cell,Neutrophils,Adam10,Adam10,Notch2,Notch2,0.2950206652233812,0.14156285390713477,0.13370277225343058,0.5808268697796666,0.35726482101654855,0
T_CD8_cell,Neutrophils,Tnf,Tnf,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.21772366930917328,0.2529084338795989,0.4703087983750599,0.3616086161273294,0
T_CD8_cell,Neutrophils,Tnf,Tnf,Tnfrsf1b,Tnfrsf1b,0.3782719937020272,0.21772366930917328,0.2529084338795989,0.7643212207207234,0.5086148273001612,0
T_CD8_cell,Neutrophils,Thy1,Thy1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.7355605889014722,1.3712892649364703,0.6508387747555469,1.0110640198460086,0
T_CD8_cell,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.29813137032842585,0.3521806481974344,0.6508387747555469,0.5015097114764906,0
T_CD8_cell,Neutrophils,Anxa2,Anxa2,Tlr2,Tlr2,0.1454438102735682,0.6027746319365799,0.9720946975912209,0.2625414002058276,0.6173180488985243,0
T_CD8_cell,Neutrophils,Csf1,Csf1,Sirpa,Sirpa,0.2753395000984058,0.21036240090600228,0.2541258995298207,0.5330517083056914,0.393588803917756,0
T_CD8_cell,Neutrophils,Fasl,Fasl,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.14297848244620612,0.15807200534571128,0.4703087983750599,0.3141904018603856,0
T_CD8_cell,Neutrophils,Fasl,Fasl,Fas,Fas,0.20251918913599684,0.14297848244620612,0.15807200534571128,0.3948998908623468,0.27648594810402904,0
T_CD8_cell,Neutrophils,Cd47,Cd47,Sirpa,Sirpa,0.2753395000984058,0.5928652321630804,0.8314931485779901,0.5330517083056914,0.6822724284418407,0
T_CD8_cell,Neutrophils,Selplg,Selplg,Itgb2,Itgb2,0.16984845502853768,0.5843714609286523,0.803888043754995,0.2981963127523744,0.5510421782536847,0
T_CD8_cell,Neutrophils,Selplg,Selplg,Itgam,Itgam,0.4754969494194056,0.5843714609286523,0.803888043754995,1.0034812367587194,0.9036846402568572,0
T_CD8_cell,Neutrophils,Selplg,Selplg,Sell,Sell,0.3200157449321,0.5843714609286523,0.803888043754995,0.6544201668411243,0.7291541052980597,0
T_CD8_cell,Neutrophils,Col1a1,Col1a1,Cd44,Cd44,0.7553631174965558,0.6865798414496036,1.0102929537268575,1.8888928787068453,1.4495929162168513,0
T_CD8_cell,Neutrophils,Fn1,Fn1,Cd44,Cd44,0.7553631174965558,0.264722536806342,0.2661066523525186,1.8888928787068453,1.0774997655296819,0
T_CD8_cell,Neutrophils,Fn1,Fn1,C5ar1,C5ar1,0.49714623105687855,0.264722536806342,0.2661066523525186,1.1215301907888222,0.6938184215706704,0
T_CD8_cell,Neutrophils,Fn1,Fn1,Plaur,Plaur,0.7535918126353081,0.264722536806342,0.2661066523525186,2.0697907155374233,1.1679486839449709,0
T_CD8_cell,Neutrophils,Col1a2,Col1a2,Cd44,Cd44,0.7553631174965558,0.4940543601359003,0.6033892683212917,1.8888928787068453,1.2461410735140686,0
T_CD8_cell,Neutrophils,Lamc1,Lamc1,Cd44,Cd44,0.7553631174965558,0.29784824462061155,0.3720811979783188,1.8888928787068453,1.130487038342582,0
T_CD8_cell,Neutrophils,Col6a1,Col6a1,Cd44,Cd44,0.7553631174965558,0.10362400906002266,0.09529432192202764,1.8888928787068453,0.9920936003144365,0
T_CD8_cell,Neutrophils,Col6a2,Col6a2,Cd44,Cd44,0.7553631174965558,0.1180634201585504,0.10345968677809086,1.8888928787068453,0.99617628274246806,0
T_CD8_cell,Neutrophils,Pglyrp1,Pglyrp1,Trem1,Trem1,0.4753001377681559,0.3567383918459796,0.4447394204636707,1.060415971081022,0.7525776957723463,0
T_CD8_cell,Neutrophils,Tgfb1,Tgfb1,Cxcr4,Cxcr4,0.17260381814603423,0.54841449603624,0.7889087688768786,0.32712852905502104,0.5580186489659498,0
T_CD8_cell,Neutrophils,Ifng,Ifng,Ifngr1_Ifngr2,Ifngr2,0.10608148002361739,0.4040203850509626,0.6518640431473894,0.3021681352294931,0.4770160891884413,0
T_CD8_cell,Neutrophils,Il1b,Il1b,Il1r2_Il1rap,Il1rap,0.2617594961621728,0.20526613816534542,0.2307171463859593,1.0396768552523588,0.635197000819159,0
T_CD8_cell,Neutrophils,Dcn,Dcn,Tlr4,Tlr4,0.2387325329659516,0.19309173272933183,0.1890698511420302,0.4733183472359751,0.33119409918900267,0
T_CD8_cell,Neutrophils,Lgals1,Lgals1,Ptprc,Ptprc,0.6754575870891557,0.9337485843714609,2.3942368759855213,1.5977951743065217,1.9960160251460215,0
T_CD8_cell,Neutrophils,Spp1,Spp1,Cd44,Cd44,0.7553631174965558,0.3932616081540204,0.4848140136045377,1.8888928787068453,1.1868534461556914,0
T_CD8_cell,Neutrophils,Ccl4,Ccl4,Ccr1,Ccr1,0.32218067309584725,0.5308607021517554,1.0868626881429706,0.6295452456573751,0.8582039669001729,0
T_CD8_cell,Neutrophils,Ccl5,Ccl5,Ccrl2,Ccrl2,0.571934658531785,0.6899773499433749,1.7787322546462017,1.534512170944771,1.6566222127954864,0
T_CD8_cell,Neutrophils,Ccl5,Ccl5,Ccr1,Ccr1,0.32218067309584725,0.6899773499433749,1.7787322546462017,0.6295452456573751,1.2041387501517884,0
T_CD8_cell,Neutrophils,Mif,Mif,Cd44_Cd74,Cd74,0.13973627238732533,0.7706681766704416,1.496781937213082,1.072607142435329,1.2846945398242053,0
T_CD8_cell,Neutrophils,Mif,Mif,Cd74_Cxcr2,Cd74,0.13973627238732533,0.7706681766704416,1.496781937213082,0.5427480563259276,1.0197649967695048,0
T_CD8_cell,Neutrophils,Cxcl1,Cxcl1,Cxcr2,Cxcr2,0.38949025782326313,0.2080973952434881,0.19550540090397006,0.8291747064880425,0.5123400536960063,0
T_CD8_cell,Neutrophils,Fam3c,Fam3c,Lamp1,Lamp1,0.48533753198189333,0.24518686296715742,0.2523301083453499,1.0544578959928737,0.6533940021691118,0
T_CD8_cell,Neutrophils,Hbegf,Hbegf,Cd44,Cd44,0.7553631174965558,0.13958097395243488,0.1287424224952115,1.8888928787068453,1.0088176506010285,0
T_CD8_cell,Neutrophils,Rarres2,Rarres2,Ccrl2,Ccrl2,0.571934658531785,0.5999433748584372,0.8923081075846861,1.534512170944771,1.2134101392647287,0
T_CD8_cell,Neutrophils,Il16,Il16,Cd9,Cd9,0.7970871875615037,0.12712344280860702,0.12598761987435825,2.0827219406566417,1.1043547802655,0
