source,target,ligand.complex,ligand,receptor.complex,receptor,receptor.prop,ligand.prop,ligand.expr,receptor.expr,lr.mean,pvalue
Neutrophils,Neutrophils,Tnf,Tnf,Tnfrsf1a,Tnfrsf1a,0.25093485534343635,0.15508758118480614,0.3407187102391943,0.4703087983750599,0.4055137543071271,0
Neutrophils,Neutrophils,Tnf,Tnf,Tnfrsf1b,Tnfrsf1b,0.3782719937020272,0.15508758118480614,0.3407187102391943,0.7643212207207234,0.5525199654799589,0
Neutrophils,Neutrophils,Tnf,Tnf,Fas,Fas,0.20251918913599684,0.15508758118480614,0.3407187102391943,0.3948998908623468,0.36780930055077055,0
Neutrophils,Neutrophils,Anxa1,Anxa1,Fpr1,Fpr1,0.11533162763235584,0.31194646723086006,0.7127933042777557,0.21352126221430764,0.46315728324603167,0
Neutrophils,Neutrophils,App,App,Cd74,Cd74,0.13973627238732533,0.5577642196418028,1.2179608154942945,0.25632140616381277,0.7371411108290536,0
Neutrophils,Neutrophils,App,App,Rpsa,Rpsa,0.4989175359181264,0.5577642196418028,1.2179608154942945,1.0687523265734638,1.143356571033879,1
Neutrophils,Neutrophils,App,App,Fpr2,Fpr2,0.13698090926982878,0.5577642196418028,1.2179608154942945,0.2365689820429688,0.7272648987686317,0
Neutrophils,Neutrophils,App,App,Notch2,Notch2,0.2950206652233812,0.5577642196418028,1.2179608154942945,0.5808268697796666,0.8993938426369805,0
Neutrophils,Neutrophils,App,App,Lrp10,Lrp10,0.10568785672111788,0.5577642196418028,1.2179608154942945,0.17804559679304421,0.6980032061436694,0
Neutrophils,Neutrophils,Icam1,Icam1,Itgam_Itgb2,Itgb2,0.16984845502853768,0.11021452469986223,0.22580501526044267,0.6508387747555469,0.4383218950079948,0
Neutrophils,Neutrophils,Icam1,Icam1,Itgal_Itgb2,Itgal,0.10490061011611887,0.11021452469986223,0.22580501526044267,0.240009294485665,0.23290715487305383,1
Neutrophils,Neutrophils,Anxa2,Anxa2,Tlr2,Tlr2,0.1454438102735682,0.5546152332218067,1.2497120398207242,0.2625414002058276,0.756126720013276,0
Neutrophils,Neutrophils,Cd14,Cd14,Tlr4,Tlr4,0.2387325329659516,0.6935642590041331,1.9270519051120736,0.4733183472359751,1.2001851261740244,0
Neutrophils,Neutrophils,Cd14,Cd14,Itgb2,Itgb2,0.16984845502853768,0.6935642590041331,1.9270519051120736,0.2981963127523744,1.112624108932224,0
Neutrophils,Neutrophils,Cd14,Cd14,Itgb1,Itgb1,0.2881322574296398,0.6935642590041331,1.9270519051120736,0.5561940982678412,1.2416230016899574,0
Neutrophils,Neutrophils,Csf1,Csf1,Sirpa,Sirpa,0.2753395000984058,0.4538476677819327,1.1027704622363335,0.5330517083056914,0.8179110852710124,0
Neutrophils,Neutrophils,Sirpa,Sirpa,Cd47,Cd47,0.3491438693170636,0.2753395000984058,0.5330517083056914,0.6916024367966578,0.6123270725511746,0
Neutrophils,Neutrophils,Adam17,Adam17,Itgb1,Itgb1,0.2881322574296398,0.38122416847077345,0.7932326291289347,0.5561940982678412,0.674713363698388,1
Neutrophils,Neutrophils,Adam17,Adam17,Il6ra,Il6ra,0.14190120055107264,0.38122416847077345,0.7932326291289347,0.26172219634485616,0.5274774127368954,0
Neutrophils,Neutrophils,Cd47,Cd47,Sirpa,Sirpa,0.2753395000984058,0.3491438693170636,0.6916024367966578,0.5330517083056914,0.6123270725511746,0
Neutrophils,Neutrophils,Selplg,Selplg,Itgb2,Itgb2,0.16984845502853768,0.2637276126746703,0.5051405940115952,0.2981963127523744,0.40166845338198476,0.997
Neutrophils,Neutrophils,Selplg,Selplg,Itgam,Itgam,0.4754969494194056,0.2637276126746703,0.5051405940115952,1.0034812367587194,0.7543109153851573,0
Neutrophils,Neutrophils,Selplg,Selplg,Sell,Sell,0.3200157449321,0.2637276126746703,0.5051405940115952,0.6544201668411243,0.5797803804263597,0
Neutrophils,Neutrophils,Cd177,Cd177,Pecam1,Pecam1,0.10706553827986617,0.11454438102735683,0.22373636168241384,0.2090523084549848,0.21639433506869932,1
Neutrophils,Neutrophils,Col1a1,Col1a1,Cd44,Cd44,0.7553631174965558,0.5711474119267861,1.195628762388578,1.8888928787068453,1.5422608205477117,0
Neutrophils,Neutrophils,Fn1,Fn1,Itgav_Itgb1,Itgav,0.1724070064947845,0.1574493209998032,0.27298732220359856,0.44771408189796535,0.36035070205078196,1
Neutrophils,Neutrophils,Fn1,Fn1,Cd44,Cd44,0.7553631174965558,0.1574493209998032,0.27298732220359856,1.8888928787068453,1.080940100455222,0
Neutrophils,Neutrophils,Fn1,Fn1,C5ar1,C5ar1,0.49714623105687855,0.1574493209998032,0.27298732220359856,1.1215301907888222,0.6972587564962104,0
Neutrophils,Neutrophils,Fn1,Fn1,Plaur,Plaur,0.7535918126353081,0.1574493209998032,0.27298732220359856,2.0697907155374233,1.171389018870511,0
Neutrophils,Neutrophils,Col1a2,Col1a2,Cd44,Cd44,0.7553631174965558,0.3644951781145444,0.6922490588674269,1.8888928787068453,1.290570968787136,0
Neutrophils,Neutrophils,Lamb3,Lamb3,Cd44,Cd44,0.7553631174965558,0.14642786852981696,0.2764690198256673,1.8888928787068453,1.0826809492662564,0
Neutrophils,Neutrophils,Pglyrp1,Pglyrp1,Trem1,Trem1,0.4753001377681559,0.48317260381814603,1.2578274979460666,1.060415971081022,1.1591217345135443,0
Neutrophils,Neutrophils,Cxcl14,Cxcl14,Cxcr4,Cxcr4,0.17260381814603423,0.3225742963983468,0.5988462511598635,0.32712852905502104,0.4629873901074423,0.999
Neutrophils,Neutrophils,Hp,Hp,Tlr4,Tlr4,0.2387325329659516,0.3662664829757922,0.852044801916808,0.4733183472359751,0.6626815745763915,0
Neutrophils,Neutrophils,Hp,Hp,Itgb2,Itgb2,0.16984845502853768,0.3662664829757922,0.852044801916808,0.2981963127523744,0.5751205573345912,0
Neutrophils,Neutrophils,Hp,Hp,Itgam,Itgam,0.4754969494194056,0.3662664829757922,0.852044801916808,1.0034812367587194,0.9277630193377637,0
Neutrophils,Neutrophils,Tgfb1,Tgfb1,Itgb1,Itgb1,0.2881322574296398,0.11395394607360755,0.20575981259993179,0.5561940982678412,0.3809769554338865,1
Neutrophils,Neutrophils,Tgfb1,Tgfb1,Cxcr4,Cxcr4,0.17260381814603423,0.11395394607360755,0.20575981259993179,0.32712852905502104,0.2664441708274764,1
Neutrophils,Neutrophils,Il1b,Il1b,Il1r2_Il1rap,Il1rap,0.2617594961621728,0.880732139342649,3.4038373586351014,1.0396768552523588,2.22175710694373,0
Neutrophils,Neutrophils,S100a8,S100a8,Tlr4,Tlr4,0.2387325329659516,0.9033654792363708,3.585583579236032,0.4733183472359751,2.0294509632360036,0
Neutrophils,Neutrophils,S100a8,S100a8,Itgb2,Itgb2,0.16984845502853768,0.9033654792363708,3.585583579236032,0.2981963127523744,1.9418899459942034,0
Neutrophils,Neutrophils,S100a8,S100a8,Cd68,Cd68,0.2570360165321787,0.9033654792363708,3.585583579236032,0.4954119750817025,2.0404977771588673,0
Neutrophils,Neutrophils,S100a9,S100a9,Tlr4,Tlr4,0.2387325329659516,0.9915370989962605,5.894855524605452,0.4733183472359751,3.1840869359207136,0
Neutrophils,Neutrophils,S100a9,S100a9,Itgb2,Itgb2,0.16984845502853768,0.9915370989962605,5.894855524605452,0.2981963127523744,3.096525918678913,0
Neutrophils,Neutrophils,S100a9,S100a9,Cd68,Cd68,0.2570360165321787,0.9915370989962605,5.894855524605452,0.4954119750817025,3.1951337498435772,0
Neutrophils,Neutrophils,Dcn,Dcn,Tlr4,Tlr4,0.2387325329659516,0.1407203306435741,0.23701252931301925,0.4733183472359751,0.3551654382744972,0
Neutrophils,Neutrophils,Dcn,Dcn,Tlr2,Tlr2,0.1454438102735682,0.1407203306435741,0.23701252931301925,0.2625414002058276,0.24977696475942343,0
Neutrophils,Neutrophils,Lgals1,Lgals1,Itgb1,Itgb1,0.2881322574296398,0.604014957685495,1.287425038464248,0.5561940982678412,0.9218095683660446,1
Neutrophils,Neutrophils,Lgals1,Lgals1,Ptprc,Ptprc,0.6754575870891557,0.604014957685495,1.287425038464248,1.5977951743065217,1.442610106385385,1
Neutrophils,Neutrophils,Spp1,Spp1,Itgav_Itgb1,Itgav,0.1724070064947845,0.2074394804172407,0.40958878981187324,0.44771408189796535,0.42865143585491927,1
Neutrophils,Neutrophils,Spp1,Spp1,Cd44,Cd44,0.7553631174965558,0.2074394804172407,0.40958878981187324,1.8888928787068453,1.1492408342593592,0
Neutrophils,Neutrophils,Ccl4,Ccl4,Ccr1,Ccr1,0.32218067309584725,0.42708128321196615,1.2883800297383323,0.6295452456573751,0.9589626376978537,0
Neutrophils,Neutrophils,Ccl5,Ccl5,Ccrl2,Ccrl2,0.571934658531785,0.15843337925605197,0.28260218576124446,1.534512170944771,0.9085571783530078,0
Neutrophils,Neutrophils,Ccl5,Ccl5,Ccr1,Ccr1,0.32218067309584725,0.15843337925605197,0.28260218576124446,0.6295452456573751,0.45607371570930977,1
